"Name","PCGamingWiki","Category","Info","Product fit","Actionable feedback"
"Invisible, Inc.","yes","Limited/coarse rollback systems","**Context:** High-difficulty campaigns give only a limited number of Rewinds, so one alarm cascade or captured veteran can consume a scarce recovery resource.

**How progress is saved:** The campaign autosaves, while Rewind is the built-in limited rollback mechanism.

**SaveScummer value:** Checkpoint before a high-security facility or after spending the last Rewind. Restore after a failed infiltration instead of losing a veteran agent or abandoning the campaign.","Keep",""
"King of Dragon Pass","yes","Limited/coarse rollback systems","**Context:** A heroquest, raid, exploration choice, or clan decision can damage cattle, magic, relationships, or leadership and reveal its consequences much later.

**How progress is saved:** The modern PC version autosaves rather than offering free decision-point saves.

**SaveScummer value:** Checkpoint before a heroquest, risky raid, or major tribal decision. Restore to explore another outcome without replaying seasons of clan management.","Keep",""
"Six Ages: Ride Like the Wind","yes","Limited/coarse rollback systems","**Context:** Heroquests, marriages, feuds, raids, and ritual choices can alter clan relationships and resources for years.

**How progress is saved:** The game autosaves whenever the clan state changes rather than exposing manual branch slots.

**SaveScummer value:** Checkpoint before a heroquest, marriage, raid, or major diplomatic decision. Restore to test another outcome without replaying the intervening seasons.","Keep",""
"Six Ages 2: Lights Going Out","no","Limited/coarse rollback systems","**Context:** A bad ritual, expedition, battle, or crisis response can consume scarce food/magic and weaken a clan already fighting long-term collapse.

**How progress is saved:** The campaign autosaves through its scenes and long-running clan simulation.

**SaveScummer value:** Checkpoint before spending scarce resources on a god, expedition, or crisis response. Restore after a disastrous result instead of replaying years of survival decisions.","Keep",""
"HighFleet","yes","Limited/coarse rollback systems","**Context:** A bad battle or route gamble can destroy irreplaceable ships, fuel, ammunition, and strategic position far from the last Fleet HQ checkpoint.

**How progress is saved:** The game provides campaign restore points at Fleet HQs rather than fine-grained manual rollback everywhere.

**SaveScummer value:** Checkpoint before a strike-group battle, risky refit, fuel-critical route, or nuclear escalation. Restore without replaying the long stretch since the previous Fleet HQ.","Keep",""
"Pathologic 2","yes","Persistent consequences ordinary reload cannot fully undo","**Context:** Death permanently makes the playthrough harder, and those penalties survive ordinary reloads.

**How progress is saved:** The death penalty is stored beyond the ordinary save being loaded, so SaveScummer must restore that broader state too.

**SaveScummer value:** Checkpoint before a dangerous fight, infected district, or desperate supply run. Restore after death to undo the persistent penalty that the game's own reload cannot remove.","Keep",""
"Sunless Sea","yes","Legacy/succession death systems","**Context:** In Unforgiving mode, losing a veteran captain means moving on through the legacy system rather than simply reloading that same life.

**How progress is saved:** The game autosaves on docking; manual saving switches the run out of Unforgiving mode.

**SaveScummer value:** Checkpoint before a dangerous voyage, zee-monster, or story port. Restore the same captain, ship, officers, and cargo after death instead of accepting succession or abandoning Unforgiving.","Keep",""
"Sunless Skies","yes","Legacy/succession death systems","**Context:** Legacy Mode turns a dead captain into a successor, so a long-developed captain and locomotive are intentionally not restored intact.

**How progress is saved:** The lineage is autosaved around ports/platforms rather than through free manual rollback.

**SaveScummer value:** Checkpoint before a dangerous reach, terror/fuel crisis, or story expedition. Restore the veteran captain instead of advancing to the successor state.","Keep",""
"The Life and Suffering of Sir Brante","yes","Committed narrative/autosave choices","**Context:** Major life choices are mutually exclusive and can change family, career, romance, politics, and the ending several chapters later.

**How progress is saved:** The life is autosaved as choices are committed; there is no normal library of decision-point saves.

**SaveScummer value:** Checkpoint before an estate, family, romance, trial, or revolutionary branch. Take one outcome, then restore for another instead of replaying whole chapters.","Keep",""
"Suzerain","yes","Committed narrative/autosave choices","**Context:** Constitution, economy, alliances, cabinet choices, and endings branch from decisions that may only show their consequences hours later.

**How progress is saved:** The campaign autosaves committed decisions instead of providing normal manual branch saves.

**SaveScummer value:** Checkpoint before a constitutional vote, budget decision, privatization/nationalization choice, alliance, or cabinet crisis. Restore to pursue another outcome without replaying the presidency from the start.","Keep",""
"Pentiment","yes","Committed narrative/autosave choices","**Context:** Major investigation and dialogue choices are mutually exclusive and can change later acts.

**How progress is saved:** Choices are committed through autosaves rather than user-managed save slots.

**SaveScummer value:** Checkpoint immediately before an accusation, investigation commitment, or major dialogue branch. Take one outcome, then restore and follow the other branch without replaying the act.","Keep",""
"Vampyr","yes","Committed narrative/autosave choices","**Context:** Embracing a named citizen grants major XP but permanently removes that person and can damage an entire district.

**How progress is saved:** The campaign uses one autosave-driven state rather than manual save slots.

**SaveScummer value:** Checkpoint before embracing a citizen, resolving a Pillar decision, or making a district-changing quest choice. Restore to compare the power gain against keeping the NPC alive without replaying the chapter.","Keep",""
"The Banner Saga","yes","Committed narrative/autosave choices","**Context:** Deaths, caravan decisions, supplies, and major story choices can carry forward into later games in the trilogy.

**How progress is saved:** The game autosaves at checkpoints rather than offering unrestricted branch saves.

**SaveScummer value:** Checkpoint before a battle with possible hero loss or a major caravan/story decision. Restore to preserve a different import state for later games without replaying the whole journey.","Keep",""
"Yes, Your Grace","yes","Committed narrative/autosave choices","**Context:** A choice made many days earlier can decide alliances, family outcomes, resources, or the war, but the game only keeps a short rolling history.

**How progress is saved:** Only the most recent eight day-end saves are retained.

**SaveScummer value:** Checkpoint a pivotal day before a major alliance, family decision, or resource commitment. Return to it later even after the built-in eight-day history has rolled past.","Keep",""
"Heaven's Vault","yes","Committed narrative/autosave choices","**Context:** Translations, artifact decisions, destinations, and conversations can close routes or reshape Aliya's interpretation of the mystery.

**How progress is saved:** The game keeps one autosaved narrative state rather than manual branch saves.

**SaveScummer value:** Checkpoint before committing to a translation, destination, artifact handoff, or major conversation. Restore to test another interpretation or route without replaying the expedition.","Keep",""
"80 Days","yes","Committed narrative/autosave choices","**Context:** Route, money, luggage, health, schedules, and story choices can make or break a specific around-the-world attempt.

**How progress is saved:** The journey is saved as one current campaign rather than a set of manual route branches.

**SaveScummer value:** Checkpoint before an expensive route, risky transport, or story choice. Restore to try the alternate connection or outcome without restarting the entire journey from London.","Keep",""
"Signs of the Sojourner","yes","Committed narrative/autosave choices","**Context:** One conversation can change the deck you carry into every later relationship, sometimes locking you out of future dialogue paths.

**How progress is saved:** The game uses a single local save rather than manual branch slots.

**SaveScummer value:** Checkpoint before an important conversation or route stop. Restore if the resulting card changes or relationship outcome damages the deck/path you were aiming for.","Keep",""
"The Council","yes","Committed narrative/autosave choices","**Context:** Dialogue choices spend limited effort, exploit immunities/vulnerabilities, and can lock in investigation or story outcomes.

**How progress is saved:** The game relies on autosaves/checkpoints rather than unrestricted manual saves.

**SaveScummer value:** Checkpoint before a major confrontation, expensive skill use, or investigation conclusion. Restore to try another dialogue path without replaying the episode.","Keep",""
"Road 96","yes","Committed narrative/autosave choices","**Context:** A single road trip can change recurring-character relationships, resources, border outcomes, and the wider campaign state.

**How progress is saved:** Campaign progress is autosaved rather than exposed as manual branch slots.

**SaveScummer value:** Checkpoint before a pivotal encounter, border crossing, or expensive route choice. Restore to see another outcome without replaying several procedural legs to reach a similar point.","Keep",""
"Enter the Gungeon","yes","Run-based games needing serialization validation","**Context:** A deep run can have a rare gun/passive synergy, Master Rounds, keys, health, and secret-route progress that is hard to reproduce.

**How progress is saved:** The Save Button serializes the run only at floor exits and resumes on the next floor.

**SaveScummer value:** Checkpoint at a floor exit before a late floor, secret route, or boss sequence. Restore the same build after death instead of rerolling the run.","Keep",""
"Wizard of Legend","yes","Run-based games needing serialization validation","**Context:** The desired value is protecting a rare arcana/relic build before a Council Member or Sura attempt.

**How progress is saved:** The game does not normally save an active run for later continuation.

**SaveScummer value:** A file-only SaveScummer cannot preserve that live build, so the core use case is unsupported without runtime capture or a mod-created run save.","Keep",""
"Synthetik: Legion Rising","yes","Run-based games needing serialization validation","**Context:** The desired value is protecting a high-roll weapon/module build before a late stage or boss.

**How progress is saved:** The game does not support saving and resuming an active run.

**SaveScummer value:** A file-only SaveScummer cannot restore the live run, so the useful late-run checkpoint would require runtime capture rather than ordinary save-file versioning.","Keep",""
"Risk of Rain","yes","Run-based games needing serialization validation","**Context:** The desired value is protecting a late survivor with a rare item stack before a teleporter, boss, or loop.

**How progress is saved:** The original game does not save active run progress for later continuation.

**SaveScummer value:** A file-only SaveScummer cannot preserve the live run; the attractive late-run rollback needs runtime capture.","Keep",""
"Risk of Rain Returns","yes","Run-based games needing serialization validation","**Context:** The desired value is protecting a powerful item build before a late teleporter, Providence route, or difficult stage.

**How progress is saved:** The game does not provide normal Save & Quit for an active run.

**SaveScummer value:** A file-only SaveScummer cannot restore that live build, so the main use case remains unsupported without runtime capture.","Keep",""
"Risk of Rain 2","yes","Run-based games needing serialization validation","**Context:** A looping run can accumulate hours of survivor-specific items and lunar choices before Mithrix or a Void route.

**How progress is saved:** The game does not natively serialize an active run for Save & Quit.

**SaveScummer value:** A file-only SaveScummer cannot freeze that live run. Protecting a long pre-Mithrix or pre-Void build would require runtime capture rather than save-file backups.","Keep",""
"Roboquest","yes","Run-based games needing serialization validation","**Context:** A late run can have a high-roll weapon/perk setup that is expensive to recreate before a difficult biome or boss.

**How progress is saved:** Single-player Save & Quit is available at the end of each level, creating a clean inter-level checkpoint.

**SaveScummer value:** Checkpoint at the end of a level before a difficult late biome or boss. Restore the same build after failure instead of rerolling weapons and perks from the start.","Keep",""
"Revita","yes","Run-based games needing serialization validation","**Context:** A strong climb can depend on a delicate relic synergy and health-for-upgrade trades before the next tower section or secret-boss route.

**How progress is saved:** Save & Quit is available at terminals after bosses rather than at arbitrary rooms.

**SaveScummer value:** Checkpoint at the post-boss terminal. Restore the same relic/health build after the next section fails instead of rebuilding it from the first station.","Keep",""
"Last Epoch","yes","Hardcore one-life characters or worlds","**Context:** Offline Hardcore looks like a natural rollback target, but the game does not preserve Hardcore eligibility after death.

**How progress is saved:** Official support says restoring a dead Hardcore character still results in a Normal/Softcore character.

**SaveScummer value:** SaveScummer cannot reliably deliver the main value a Hardcore player would want: keeping the character Hardcore after a death. This is a poor fit despite the local save files.","Remove","Offline Hardcore is optional and no offline Hardcore achievement/reward was established; online competitive reasons are outside local-save scope."
"Minecraft: Java Edition","yes","Hardcore one-life characters or worlds","**Context:** Hardcore is an optional one-life variant with no separate reward established here; death leaves the world intact and moves the player to Spectator.

**How progress is saved:** The world autosaves continuously, so a backup can restore the pre-death player/world state.

**SaveScummer value:** Technically useful before the Ender Dragon, Wither, Ancient City, or risky Nether trip, but the value is weak because players who want normal recovery can simply avoid Hardcore.","Remove","Hardcore is an optional one-life variant with no separate reward/achievement reason established."
"Subnautica","yes","Hardcore one-life characters or worlds","**Context:** Hardcore is optional and does not add a separate achievement incentive; its main difference is losing the run on death.

**How progress is saved:** Hardcore only saves through Save & Quit, and death deletes the Hardcore save.

**SaveScummer value:** A checkpoint can protect a base/vehicle-heavy run before a deep dive or leviathan trip, but this mostly defeats an optional permadeath rule. Normal Survival already provides the same core progression without that risk.","Remove","Hardcore is optional and has no Hardcore-specific Steam achievement; Survival keeps the same core game without permadeath."
"Crusader Kings III","yes","Ironman / single-save campaigns","**Context:** Achievements no longer require Ironman, so there is no external reward forcing players into the one-save rules.

**How progress is saved:** Ironman still restricts campaign saving, but normal games already allow the rollback needed for achievement hunting.

**SaveScummer value:** Technically useful before succession, wars, or schemes, but the value is weak: players can pursue achievements without Ironman and use normal saves instead.","Remove","Achievements no longer require Ironman, so normal save-enabled play already preserves the main external incentive."
"RimWorld","yes","Ironman / single-save campaigns","**Context:** Commitment Mode is a voluntary no-reload rule; PC RimWorld has no achievement system that makes it necessary.

**How progress is saved:** Commitment keeps one evolving colony save rather than normal manual save/load.

**SaveScummer value:** A checkpoint could undo a raid, surgery failure, or colonist death, but that mostly bypasses an optional challenge. Normal save-enabled play already provides the same practical benefit.","Remove","Commitment Mode mainly removes reloading; PC RimWorld has no achievement system creating a separate reason to use it."
"Victoria 3","yes","Ironman / single-save campaigns","**Context:** Victoria 3 achievements do not require Ironman, so the save restriction is optional rather than part of an achievement run.

**How progress is saved:** Ironman keeps a restricted campaign save, while normal campaigns can use manual rollback.

**SaveScummer value:** SaveScummer could protect a diplomatic play, law, or war, but players can get the same rollback while remaining achievement-eligible by simply not enabling Ironman.","Remove","Achievements do not require Ironman, so the save restriction is voluntary rather than required for a separate reward."
"XCOM: Chimera Squad","yes","Ironman / single-save campaigns","**Context:** No Ironman-specific reward was established; Ironman mainly removes the manual saves available in normal play.

**How progress is saved:** Ironman disables manual saving and multiple saves while autosaving the campaign.

**SaveScummer value:** A checkpoint could protect a difficult operation or agent, but normal mode already provides manual rollback without giving up achievements, making the extra value limited.","Remove","No Ironman-specific achievement/reward was established; normal save-enabled play appears equivalent for achievement purposes."
"Xenonauts","yes","Ironman / single-save campaigns","**Context:** Ironman is a voluntary no-reload restriction with no separate reward established here.

**How progress is saved:** Ironman disables manual saving and relies on automatic saves.

**SaveScummer value:** A checkpoint could protect veteran soldiers or aircraft before a hard mission, but players who want rollback can simply play the same difficulty without Ironman.","Remove","Ironman appears to be a voluntary no-reload restriction; no separate achievement/reward reason was established."
"Xenonauts 2","yes","Ironman / single-save campaigns","**Context:** Ironman is separate from difficulty, while the visible completion goals are difficulty-based rather than Ironman-specific.

**How progress is saved:** Ironman uses one automatically updated save; non-Ironman games allow normal manual save/load.

**SaveScummer value:** A checkpoint could protect a tactical mission or expensive aircraft, but it mostly recreates the manual rollback already available by leaving Ironman off.","Remove","Ironman is separate from difficulty and the visible victory achievements are difficulty-based, so the restriction adds no separate reward."
"Total War: WARHAMMER III","yes","Ironman / single-save campaigns","**Context:** Ironman is now separate from Legendary difficulty, so players can keep the hard campaign without accepting the save restriction.

**How progress is saved:** Only the optional Ironman setting restricts rollback; Legendary itself no longer forces it.

**SaveScummer value:** SaveScummer can version an Ironman campaign before a siege or dangerous End Turn, but there is little product need because the same Legendary challenge can be played with normal saves.","Remove","Ironman is separate from Legendary difficulty; players can retain the harder difficulty target without the save restriction."
